DUPLICATES,SEQUENTIAL,MAX_MEMORY,ENV_SHARED_CACHE,REPLICATED,ENV_IS_LOCKING,CACHE_MODE,TEMPORARY,JE_FILE_LEVEL,ENV_BACKGROUND_READ_LIMIT,LOCK_DEADLOCK_DETECT,TXN_SERIALIZABLE_ISOLATION,JE_DURABILITY,ADLER32_CHUNK_SIZE,CHECKPOINTER_BYTES_INTERVAL,LOCK_DEADLOCK_DETECT_DELAY,time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.538
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.838
1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,5.365
0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,23.37
1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,5.412
0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,18.677
0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,11.157
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.738
0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,11.289
0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,10.303
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4.325
1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,7.592
1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,7.739
0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,26.916
0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,9.906
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10.884
0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,7.469
0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,10.983
0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,23.284
1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,4.869
0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,23.163
1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,7.151
0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,10.941
