MAX_MEMORY,TEMPORARY,DUPLICATES,time
0,0,0,0
1,1,0,0.005
0,1,1,0.005
1,0,1,0
1,1,1,0.005
1,0,0,0.005
0,1,0,0.003
0,0,1,0.003
