MAX_MEMORY,TEMPORARY,DUPLICATES,ENV_IS_LOCKING,time
1,0,0,1,0
0,0,0,0,0
1,1,0,0,0
0,1,1,0,0
0,0,1,1,0
1,1,1,1,0.003
0,1,1,1,0
0,1,0,1,0
1,0,1,0,0
1,1,1,0,0
1,0,0,0,0
1,1,0,1,0
0,1,0,0,0
0,0,1,0,0
1,0,1,1,0
0,0,0,1,0
