CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0
0,1,1,0,0,0,0.005
1,1,1,0,1,1,0.021
0,0,1,1,0,0,0.005
0,0,1,1,1,1,0
0,1,1,1,1,1,0.005
0,0,1,0,0,1,0.016
0,1,0,1,0,0,0
0,1,1,1,1,0,0
0,1,1,0,0,1,0
0,0,1,0,0,0,0.013
0,0,0,1,0,0,0
0,1,0,1,0,1,0
1,1,1,1,1,0,0.031
1,0,1,0,0,1,0.026
1,0,1,1,1,1,0.042
0,0,0,0,1,0,0
1,1,1,1,1,1,0.031
0,1,0,0,1,1,0
0,1,0,0,1,0,0
0,0,0,0,1,1,0
1,0,1,1,1,0,0.039
1,1,1,0,0,0,0.029
1,0,1,0,0,0,0.021
1,1,1,0,0,1,0.026
1,0,1,1,0,1,0.032
0,1,0,0,0,1,0
1,0,1,0,1,0,0.019
0,0,0,1,0,1,0
0,1,1,1,0,1,0
0,0,1,1,1,0,0
0,0,1,1,0,1,0.016
1,1,1,1,0,0,0.031
0,1,0,1,1,1,0
0,0,0,1,1,0,0
0,0,1,0,1,1,0
0,1,1,1,0,0,0.005
0,1,0,0,0,0,0
1,0,1,1,0,0,0.031
1,1,1,1,0,1,0.032
0,1,0,1,1,0,0
1,0,1,0,1,1,0.008
0,0,0,1,1,1,0
1,1,1,0,1,0,0.026
0,0,1,0,1,0,0
0,1,1,0,1,0,0.003
0,1,1,0,1,1,0
0,0,0,0,0,1,0
