MAX_MEMORY,TEMPORARY,DUPLICATES,time
0,0,0,0
1,1,0,0.016
0,1,1,0.029
1,0,1,0
1,1,1,0.013
1,0,0,0
0,1,0,0.032
0,0,1,0
