ENV_SHARED_CACHE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,3.047
0,1,1,0,0,0,0
0,0,1,1,0,0,4.561
0,0,1,1,1,1,0
0,1,1,1,1,1,0
0,0,1,0,0,1,4.158
0,1,0,1,0,0,0
1,0,0,0,1,1,0
1,0,0,0,1,0,0
0,1,1,1,1,0,0
0,1,1,0,0,1,0
0,0,1,0,0,0,4.02
0,0,0,1,0,0,2.774
0,1,0,1,0,1,0
0,0,0,0,1,1,0
0,0,0,0,1,0,0
0,1,0,0,1,1,0
0,1,0,0,1,0,0
1,0,1,0,0,1,4.115
1,0,1,0,0,0,4.134
0,1,0,0,0,1,0
0,0,0,1,0,1,2.786
0,1,1,1,0,1,0
0,0,1,1,1,0,0
0,0,1,1,0,1,4.719
0,1,0,1,1,1,0
0,0,0,1,1,0,0
1,0,1,0,1,0,0
0,0,1,0,1,1,0
0,1,1,1,0,0,0
1,0,0,0,0,0,2.936
1,0,0,0,0,1,3.021
0,1,0,0,0,0,0
0,1,0,1,1,0,0
0,0,0,1,1,1,0
1,0,1,0,1,1,0
0,0,1,0,1,0,0
0,1,1,0,1,1,0
0,1,1,0,1,0,0
0,0,0,0,0,1,3.015
