CACHE_MODE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0.05
0,1,1,0,0,0,0.016
1,0,0,0,0,0,0.058
0,0,1,1,1,1,0.018
1,1,0,0,1,0,0.008
1,1,0,0,1,1,0.003
0,1,1,0,0,1,0.011
0,0,0,1,0,0,0.05
0,1,0,1,0,1,0.008
0,1,0,0,1,1,0.008
1,0,1,1,1,1,0.005
1,0,1,1,1,0,0.005
0,1,0,0,1,0,0.008
1,1,1,0,0,1,0.011
1,1,1,0,0,0,0.01
0,1,0,0,0,1,0.021
1,0,1,1,0,1,0.089
0,0,0,1,0,1,0.039
0,0,1,1,1,0,0.024
0,0,0,1,1,0,0.008
0,1,1,1,0,0,0.029
1,1,0,0,0,0,0.019
1,1,1,1,0,1,0.011
0,1,0,1,1,0,0.008
1,0,1,0,1,1,0.008
0,0,1,0,1,0,0.024
0,1,1,0,1,0,0.013
0,0,0,0,0,1,0.045
1,1,1,0,1,1,0.018
0,0,1,1,0,0,0.11
0,1,1,1,1,1,0.023
1,0,0,0,1,1,0.003
0,0,1,0,0,1,0.173
0,1,0,1,0,0,0.003
0,1,1,1,1,0,0.037
1,0,0,0,1,0,0.005
0,0,1,0,0,0,0.144
1,1,1,1,1,0,0.01
1,0,1,0,0,1,0.144
1,1,1,1,1,1,0.008
0,0,0,0,1,1,0.013
0,0,0,0,1,0,0.019
1,0,1,0,0,0,0.14
1,0,1,0,1,0,0.005
1,0,0,0,0,1,0.047
0,1,1,1,0,1,0.029
1,1,0,0,0,1,0.013
0,0,1,1,0,1,0.1
1,1,1,1,0,0,0.013
0,1,0,1,1,1,0.011
0,0,1,0,1,1,0.013
1,0,1,1,0,0,0.102
0,1,0,0,0,0,0.016
1,1,1,0,1,0,0.003
0,0,0,1,1,1,0.016
0,1,1,0,1,1,0.029
