CACHE_MODE,ENV_SHARED_CACHE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0,1.094
0,0,1,1,0,0,0,0.666
0,0,0,1,1,1,1,0.06
1,1,0,1,0,0,0,1.365
0,1,0,0,0,1,1,0.953
0,1,0,0,0,1,0,0.979
0,0,1,1,0,0,1,0.666
0,0,0,0,1,0,0,0.313
0,0,1,0,1,0,1,0.066
1,0,0,1,1,1,1,0.039
0,0,1,0,0,1,1,0.682
0,0,1,0,0,1,0,0.664
1,0,0,1,1,1,0,0.037
1,0,1,1,0,0,1,0
0,1,0,1,0,0,0,1.754
1,0,1,1,0,0,0,0
1,0,0,1,1,0,1,1.253
0,0,1,0,0,0,1,0.679
0,0,0,0,1,0,1,0.326
0,0,0,1,1,1,0,0.066
0,0,0,0,1,1,0,0.107
0,0,1,1,1,0,0,0.021
0,1,0,0,0,0,0,1.141
1,1,0,1,0,1,0,0.45
1,0,1,1,1,0,1,0
1,0,0,1,0,1,1,0.5
0,0,1,0,1,1,0,0.063
0,1,0,1,0,1,1,0.913
0,0,0,1,0,1,0,0.936
0,0,1,1,0,1,0,0.803
0,0,0,0,0,0,1,1.15
1,0,1,1,0,1,1,0
0,0,0,1,1,0,0,1.245
0,0,1,1,1,1,1,0.024
0,0,0,1,0,0,1,1.749
0,0,1,0,1,0,0,0.076
0,0,1,1,1,1,0,0.023
0,0,0,1,0,0,0,1.726
1,1,0,1,0,0,1,1.329
0,0,0,0,0,1,1,0.958
0,0,0,0,0,1,0,0.922
1,0,1,1,1,1,0,0
1,0,0,1,0,0,1,1.387
1,0,1,1,1,1,1,0
1,0,0,1,0,0,0,1.337
0,1,0,1,0,0,1,1.837
1,0,0,1,0,1,0,0.455
0,0,1,1,1,0,1,0.031
0,0,0,1,1,0,1,1.215
1,0,1,1,1,0,0,0
0,0,1,0,1,1,1,0.063
0,1,0,1,0,1,0,0.938
0,0,0,1,0,1,1,0.89
0,1,0,0,0,0,1,1.06
1,1,0,1,0,1,1,0.489
0,0,1,0,0,0,0,0.636
1,0,0,1,1,0,0,1.181
1,0,1,1,0,1,0,0
0,0,0,0,1,1,1,0.097
0,0,1,1,0,1,1,0.763
