MAX_MEMORY,TEMPORARY,DUPLICATES,ENV_IS_LOCKING,time
1,0,0,1,0.011
0,0,0,0,0.013
1,1,0,0,0.005
0,1,1,0,0.016
0,0,1,1,0
1,1,1,1,0
0,1,1,1,0.013
0,1,0,1,0.024
1,0,1,0,0
1,1,1,0,0
1,0,0,0,0.011
1,1,0,1,0.005
0,1,0,0,0.026
0,0,1,0,0
1,0,1,1,0
0,0,0,1,0.016
