CACHE_MODE,ENV_SHARED_CACHE,MAX_MEMORY,TEMPORARY,DUPLICATES,SEQUENTIAL,ENV_IS_LOCKING,time
0,0,0,0,0,0,0,8.276
0,0,1,1,0,0,0,6.428
0,0,0,1,1,1,1,5.093
1,1,0,1,0,0,0,5.822
0,1,0,0,0,1,1,5.407
0,1,0,0,0,1,0,5.337
0,0,1,1,0,0,1,6.308
0,0,0,0,1,0,0,7.093
0,0,1,0,1,0,1,4.881
1,0,0,1,1,1,1,0.587
0,0,1,0,0,1,1,5.138
0,0,1,0,0,1,0,5.228
1,0,0,1,1,1,0,0.626
1,0,1,1,0,0,1,0
0,1,0,1,0,0,0,11.028
1,0,1,1,0,0,0,0
1,0,0,1,1,0,1,5.432
0,0,1,0,0,0,1,5.824
0,0,0,0,1,0,1,7.038
0,0,0,1,1,1,0,4.952
0,0,0,0,1,1,0,4.403
0,0,1,1,1,0,0,5.661
0,1,0,0,0,0,0,8.12
1,1,0,1,0,1,0,1.046
1,0,1,1,1,0,1,0
1,0,0,1,0,1,1,1.059
0,0,1,0,1,1,0,4.244
0,1,0,1,0,1,1,5.904
0,0,0,1,0,1,0,6.072
0,0,1,1,0,1,0,5.673
0,0,0,0,0,0,1,8.06
1,0,1,1,0,1,1,0
0,0,0,1,1,0,0,10.387
0,0,1,1,1,1,1,5.091
0,0,0,1,0,0,1,10.983
0,0,1,0,1,0,0,4.866
0,0,1,1,1,1,0,5.021
0,0,0,1,0,0,0,11.14
1,1,0,1,0,0,1,6.024
0,0,0,0,0,1,1,5.574
0,0,0,0,0,1,0,5.467
1,0,1,1,1,1,0,0
1,0,0,1,0,0,1,5.951
1,0,1,1,1,1,1,0
1,0,0,1,0,0,0,6.089
0,1,0,1,0,0,1,10.914
1,0,0,1,0,1,0,1.094
0,0,1,1,1,0,1,5.523
0,0,0,1,1,0,1,10.676
1,0,1,1,1,0,0,0
0,0,1,0,1,1,1,4.23
0,1,0,1,0,1,0,6.038
0,0,0,1,0,1,1,5.995
0,1,0,0,0,0,1,8.132
1,1,0,1,0,1,1,1.039
0,0,1,0,0,0,0,5.868
1,0,0,1,1,0,0,5.475
1,0,1,1,0,1,0,0
0,0,0,0,1,1,1,4.342
0,0,1,1,0,1,1,5.67
