DUPLICATES,SEQUENTIAL,MAX_MEMORY,ENV_SHARED_CACHE,REPLICATED,ENV_IS_LOCKING,CACHE_MODE,TEMPORARY,JE_FILE_LEVEL,ENV_BACKGROUND_READ_LIMIT,LOCK_DEADLOCK_DETECT,TXN_SERIALIZABLE_ISOLATION,JE_DURABILITY,ADLER32_CHUNK_SIZE,CHECKPOINTER_BYTES_INTERVAL,LOCK_DEADLOCK_DETECT_DELAY,time
1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,4.76
1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,6.829
1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,7.27
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10.579
1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,7.294
1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,7.978
0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,4.49
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4.458
1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,4.759
0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,11.743
1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,6.687
0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,21.508
0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,27.401
1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,6.808
1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,3.987
0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,10.579
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,4.022
1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,7.265
1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,6.808
0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,6.532
1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,7.954
0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,10.064
0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,4.017
0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,10.746
0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,10.579
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,27.38
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10.612
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,18.2
0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,4.012
1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,7.287
1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,7.926
1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,8.299
1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,4.027
0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,6.47
0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,18.2
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,18.344
1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,23.307
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,18.344
1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,6.687
0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,4.643
1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,6.808
1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,7.27
0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,3.99
1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.471
0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,4.012
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.662
0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,10.753
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,14.647
1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,7.27
1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,4.458
1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,4.844
0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,10.525
1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,14.719
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,23.272
1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,6.808
0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,10.085
1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,3.987
0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,4.643
0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,3.99
1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,6.808
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,18.815
0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,11.15
1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,7.926
1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,7.921
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10.724
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,18.262
0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,10.751
0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,18.467
0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,10.746
0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,6.47
1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,4.027
0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,4.648
1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,6.883
1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,7.978
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,18.246
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,4.027
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,18.344
1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,6.818
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.344
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,18.344
1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,4.022
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,10.579
0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,10.753
1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,6.687
1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,4.453
1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,4.027
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,10.741
1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,14.662
0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,4.648
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18.344
0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,27.38
1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,4.844
1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,4.471
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4.027
0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,18.262
0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,4.017
1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,4.027
0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,10.724
0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,18.481
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6.678
1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,6.808
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,4.027
1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,6.683
0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,21.525
0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,18.2
1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,4.471
1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,14.662
1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,3.987
1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,4.458
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10.579
1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,6.68
1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,18.874
1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,14.571
0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,18.2
0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,18.651
0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,11.855
1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,7.266
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,23.272
0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,10.746
1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,23.418
0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,10.746
0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,10.738
1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,4.027
0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,3.989
1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,6.687
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14.662
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,18.2
0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,10.746
1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,14.574
0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,11.145
0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,4.012
1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,23.307
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.883
1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,23.272
1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,7.921
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7.867
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.662
1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,8.304
0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,10.746
1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,18.874
1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,4.844
1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,6.676
1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,7.269
0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,27.608
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,18.651
0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,10.085
1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,6.68
0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,11.796
