PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,time
0,0,0,0,0.006
1,0,1,0,0.011
0,1,1,0,0.017
1,0,0,0,0.003
0,1,0,0,0.008
0,0,0,1,0.003
0,0,1,0,0.015
1,1,0,0,0.014
1,1,1,0,0.014
