CACHE_SIZE,PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,DEFRAG_ALWAYS,time
0,0,0,0,0,0,0.011
0,1,0,0,1,1,0
1,1,0,1,1,1,0
1,1,1,0,0,0,0.021
1,0,0,1,0,0,0.026
0,1,1,0,1,1,0
1,1,1,1,1,1,0
0,1,1,1,0,1,0.021
0,1,1,0,1,0,0
1,1,0,1,1,0,0
0,0,1,1,1,1,0
1,1,1,1,1,0,0
1,0,1,1,0,0,0.021
0,0,0,1,1,1,0
1,1,0,0,0,0,0.032
0,0,0,0,0,1,0.027
1,0,0,1,1,1,0
1,1,1,0,0,1,0.016
1,0,0,0,1,0,0
1,1,1,0,1,1,0
1,0,0,1,0,1,0.021
1,1,0,1,0,0,0.026
0,1,0,1,0,1,0.037
0,0,0,0,1,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0.021
0,0,1,1,1,0,0
0,0,1,1,0,0,0.011
0,1,0,0,0,0,0.042
0,0,1,0,0,0,0.016
1,1,1,0,1,0,0
0,1,0,1,1,0,0
1,1,0,1,0,1,0.037
0,1,0,0,0,1,0.032
1,1,0,0,1,0,0
1,0,0,1,1,0,0
1,1,1,1,0,1,0.021
0,0,1,1,0,1,0.027
0,0,0,0,1,0,0
0,0,0,1,0,1,0.032
1,0,1,1,1,0,0
1,1,1,1,0,0,0.021
1,0,0,0,1,1,0
0,1,1,1,1,1,0
0,1,0,1,0,0,0.042
1,0,0,0,0,0,0.026
0,0,1,0,1,0,0
0,1,0,1,1,1,0
1,0,1,0,1,1,0
0,1,1,0,0,1,0.021
0,0,1,0,1,1,0
1,0,1,0,1,0,0
1,0,1,1,0,1,0.021
1,0,1,0,0,0,0.016
0,1,1,1,1,0,0
0,0,1,0,0,1,0.011
1,1,0,0,1,1,0
0,0,0,1,0,0,0.032
1,0,1,1,1,1,0
0,1,1,1,0,0,0.032
1,0,1,0,0,1,0.011
0,0,0,1,1,0,0
1,1,0,0,0,1,0.026
0,1,1,0,0,0,0.021
