AUTOCOMMIT,MV_STORE,DEFRAG_ALWAYS,COMPRESS,time
1,1,1,0,0.021
0,0,0,0,0
0,1,1,1,0.008
1,1,0,0,0.026
1,1,0,1,0.005
1,1,1,1,0.011
0,1,0,1,0.008
0,1,1,0,0.011
0,1,0,0,0.008
0,0,1,0,0
