CACHE_SIZE,PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,DEFRAG_ALWAYS,time
1,1,0,1,0,1,0.037
0,0,0,0,0,0,0
0,1,0,0,0,1,0.048
1,1,1,0,0,0,0.016
1,1,1,1,0,1,0.032
1,0,0,1,0,0,0
0,0,1,1,0,1,0
0,0,0,0,1,0,0
0,0,0,1,0,1,0
0,1,1,1,0,1,0.058
1,1,1,1,0,0,0.021
0,1,0,1,0,0,0.037
1,0,0,0,0,0,0
1,0,1,1,0,0,0
1,1,0,0,0,0,0.021
0,1,1,0,0,1,0.058
0,0,0,0,0,1,0
1,0,1,1,0,1,0
1,0,1,0,0,0,0
0,0,1,0,0,1,0
1,1,1,0,0,1,0.044
1,0,0,1,0,1,0
1,1,0,1,0,0,0.021
0,1,0,1,0,1,0.048
0,0,0,1,0,0,0
0,1,1,1,0,0,0.021
1,0,1,0,0,1,0
1,0,0,0,0,1,0.011
0,0,1,1,0,0,0
0,1,0,0,0,0,0.026
0,0,1,0,0,0,0
1,1,0,0,0,1,0.058
0,1,1,0,0,0,0.016
