PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,time
0,0,0,0,0.008
1,1,1,1,0.013
0,0,1,0,0.005
0,0,0,1,0.019
1,0,0,1,0.011
1,1,1,0,0.008
1,1,0,1,0.008
1,0,1,0,0.003
0,0,1,1,0.016
0,1,1,1,0
0,1,1,0,0.003
0,1,0,1,0.008
1,0,0,0,0.008
0,1,0,0,0.008
1,0,1,1,0.011
1,1,0,0,0
