AUTOCOMMIT,MV_STORE,DEFRAG_ALWAYS,COMPRESS,time
1,1,1,0,0
0,0,0,0,0
1,0,1,0,0
1,1,0,1,0.011
0,1,1,0,0
0,1,0,0,0.011
0,0,1,1,0
1,0,1,1,0
0,1,1,1,0
1,1,0,0,0.016
1,1,1,1,0
0,1,0,1,0.013
0,0,1,0,0
