CACHE_SIZE,PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,DEFRAG_ALWAYS,time
1,1,0,1,0,1,80.169
0,0,0,0,0,0,8.264
0,1,0,0,1,1,0
0,1,0,0,0,1,80.239
1,1,1,0,0,0,16.06
1,0,0,1,0,0,8.346
1,1,1,1,0,1,79.281
0,0,1,1,0,1,29.4
0,0,0,0,1,0,0
0,0,0,1,0,1,29.304
1,1,1,1,0,0,16.112
0,1,1,1,0,1,79.036
0,1,0,1,0,0,16.259
1,0,0,0,0,0,8.39
1,0,1,1,0,0,8.196
1,1,0,0,0,0,16.258
0,1,1,0,0,1,79.028
0,0,0,0,0,1,29.388
1,0,1,1,0,1,29.528
1,0,1,0,0,0,8.344
0,0,1,0,0,1,29.211
1,1,1,0,0,1,79.509
1,0,0,1,0,1,29.581
1,1,0,1,0,0,16.295
0,0,0,0,1,1,0
0,1,0,1,0,1,80.167
0,0,0,1,0,0,8.421
0,1,0,0,1,0,0
0,1,1,1,0,0,16.004
1,0,1,0,0,1,29.589
1,0,0,0,0,1,29.624
0,0,1,1,0,0,8.369
0,1,0,0,0,0,16.126
0,0,1,0,0,0,8.212
1,1,0,0,0,1,80.156
0,1,1,0,0,0,15.919
