PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,time
0,0,0,0,0.059
1,0,1,0,0.071
1,0,0,0,0.066
0,0,1,0,0.053
0,0,0,1,0
1,1,0,0,0.066
1,1,1,0,0.048
