AUTOCOMMIT,MV_STORE,DEFRAG_ALWAYS,COMPRESS,time
1,1,1,0,0
0,0,0,0,0
0,1,1,1,0
1,1,0,0,0.021
1,1,0,1,0.021
1,1,1,1,0
0,1,0,1,0.024
0,1,1,0,0
0,1,0,0,0.021
0,0,1,0,0
