AUTOCOMMIT,MV_STORE,DEFRAG_ALWAYS,COMPRESS,time
0,0,0,0,0
1,1,1,0,0.016
1,0,1,0,0
1,0,0,1,0
1,1,0,1,0.016
0,1,1,0,0.011
0,1,0,0,0.021
0,0,1,1,0
0,0,0,1,0
1,0,1,1,0
0,1,1,1,0.016
1,1,0,0,0.021
1,1,1,1,0.021
0,1,0,1,0.021
1,0,0,0,0
0,0,1,0,0
