AUTOCOMMIT,MV_STORE,DEFRAG_ALWAYS,COMPRESS,time
0,0,0,0,0
1,1,1,0,0.011
1,0,1,0,0
1,0,0,1,0
1,1,0,1,0.005
0,1,1,0,0.016
0,1,0,0,0.024
0,0,1,1,0
0,0,0,1,0
1,0,1,1,0
0,1,1,1,0.013
1,1,0,0,0.011
1,1,1,1,0.016
0,1,0,1,0.013
1,0,0,0,0
0,0,1,0,0
