PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,time
0,0,0,0,0.019
1,0,1,0,0.042
0,1,1,0,0.019
0,1,0,1,0.016
1,0,0,0,0.042
0,1,0,0,0.021
0,0,1,0,0.019
0,0,0,1,0.016
1,1,0,0,0.032
1,1,1,0,0.016
