AUTOCOMMIT,MV_STORE,DEFRAG_ALWAYS,COMPRESS,time
1,1,1,0,0
0,0,0,0,0
0,1,1,1,0.005
1,1,0,0,0
1,1,0,1,0
1,1,1,1,0
0,1,0,1,0.005
0,1,1,0,0
0,1,0,0,0
0,0,1,0,0
