CACHE_SIZE,PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,DEFRAG_ALWAYS,time
0,0,0,0,0,0,0
0,1,0,0,1,1,0
1,1,0,1,1,1,0
1,1,1,0,0,0,0
1,0,0,1,0,0,0
0,1,1,0,1,1,0
1,1,1,1,1,1,0
0,1,1,1,0,1,1.787
0,1,1,0,1,0,0
1,1,0,1,1,0,0
0,0,1,1,1,1,0
1,1,1,1,1,0,0
1,0,1,1,0,0,0
0,0,0,1,1,1,0
1,1,0,0,0,0,0
0,0,0,0,0,1,0.337
1,0,0,1,1,1,0
1,1,1,0,0,1,2.691
1,0,0,0,1,0,0
1,1,1,0,1,1,0
1,0,0,1,0,1,1.141
1,1,0,1,0,0,0
0,1,0,1,0,1,1.923
0,0,0,0,1,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,1.166
0,0,1,1,1,0,0
0,0,1,1,0,0,0
0,1,0,0,0,0,0
0,0,1,0,0,0,0
1,1,1,0,1,0,0
0,1,0,1,1,0,0
1,1,0,1,0,1,2.829
0,1,0,0,0,1,1.842
1,1,0,0,1,0,0
1,0,0,1,1,0,0
1,1,1,1,0,1,2.82
0,0,1,1,0,1,0.364
0,0,0,0,1,0,0
0,0,0,1,0,1,0.338
1,0,1,1,1,0,0
1,1,1,1,0,0,0
1,0,0,0,1,1,0
0,1,1,1,1,1,0
0,1,0,1,0,0,0
1,0,0,0,0,0,0
0,0,1,0,1,0,0
0,1,0,1,1,1,0
1,0,1,0,1,1,0
0,1,1,0,0,1,1.82
0,0,1,0,1,1,0
1,0,1,0,1,0,0
1,0,1,1,0,1,1.22
1,0,1,0,0,0,0
0,1,1,1,1,0,0
0,0,1,0,0,1,0.39
1,1,0,0,1,1,0
0,0,0,1,0,0,0
1,0,1,1,1,1,0
0,1,1,1,0,0,0
1,0,1,0,0,1,1.219
0,0,0,1,1,0,0
1,1,0,0,0,1,2.636
0,1,1,0,0,0,0
