PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,time
0,0,0,0,0.013
1,1,1,1,0
0,0,1,0,0.003
0,0,0,1,0
1,0,0,1,0
1,1,1,0,0
1,1,0,1,0
1,0,1,0,0
0,0,1,1,0
0,1,1,1,0
0,1,1,0,0.013
0,1,0,1,0
1,0,0,0,0
0,1,0,0,0.003
1,0,1,1,0
1,1,0,0,0
