CACHE_SIZE,PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,DEFRAG_ALWAYS,time
1,1,0,1,0,1,0.032
0,0,0,0,0,0,0.013
0,1,0,0,0,1,0.058
1,1,1,1,0,1,0.058
0,0,1,1,0,1,0.058
0,0,0,0,1,0,0.021
0,0,0,1,0,1,0.096
0,1,1,1,0,1,0.074
0,1,1,0,1,0,0.016
0,1,0,1,0,0,0.021
0,0,1,0,1,0,0.011
0,1,1,0,0,1,0.079
0,0,0,0,0,1,0.069
1,0,1,1,0,1,0.021
0,0,1,0,0,1,0.079
1,1,1,0,0,1,0.063
1,0,0,1,0,1,0.026
0,1,0,1,0,1,0.053
0,0,0,1,0,0,0.013
0,1,0,0,1,0,0.011
0,1,1,1,0,0,0.016
1,0,1,0,0,1,0.026
1,0,0,0,0,1,0.027
0,0,1,1,0,0,0.011
0,1,0,0,0,0,0.024
0,0,1,0,0,0,0.013
1,1,0,0,0,1,0.069
0,1,1,0,0,0,0.011
