PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,time
0,0,0,0,0.013
1,1,1,1,0.021
0,0,1,0,0.01
0,0,0,1,0.019
1,0,0,1,0.024
1,1,1,0,0.019
1,1,0,1,0.018
1,0,1,0,0.011
0,0,1,1,0.019
0,1,1,1,0.016
0,1,1,0,0.018
0,1,0,1,0.024
1,0,0,0,0.016
0,1,0,0,0.011
1,0,1,1,0.021
1,1,0,0,0.016
