CACHE_SIZE,PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,DEFRAG_ALWAYS,time
0,0,0,0,0,0,0.005
1,1,0,1,0,1,0.016
0,1,0,0,0,1,0.011
1,1,1,0,0,1,0.01
1,1,1,1,0,1,0.011
1,0,0,1,0,1,0.003
0,1,0,1,0,1,0.016
0,0,0,0,1,0,0
0,0,0,1,0,0,0
0,1,0,0,1,0,0
0,0,0,1,0,1,0.005
0,1,1,1,0,1,0.011
0,1,0,1,0,0,0.013
0,0,0,1,1,0,0
1,0,0,0,0,1,0.011
0,1,0,0,0,0,0.013
0,1,0,1,1,0,0
1,1,0,0,0,1,0.016
0,0,0,0,0,1,0
0,1,1,0,0,1,0.016
