CACHE_SIZE,PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,DEFRAG_ALWAYS,time
0,0,0,0,0,0,0.014
1,1,0,1,0,1,0.012
0,1,0,0,0,1,0.016
1,1,1,0,0,0,0.011
1,0,0,1,0,0,0.011
1,1,1,1,0,1,0.017
0,0,0,0,1,0,0
0,0,0,1,0,1,0.014
0,1,1,1,0,1,0.011
1,1,1,1,0,0,0.011
0,1,0,1,0,0,0.011
1,0,0,0,0,0,0.011
1,1,0,0,0,0,0.011
0,0,0,0,0,1,0.017
0,1,1,0,0,1,0.016
1,1,1,0,0,1,0.011
1,0,0,1,0,1,0.014
1,1,0,1,0,0,0.011
0,1,0,1,0,1,0.017
0,0,0,1,0,0,0.011
0,1,1,1,0,0,0.012
1,0,0,0,0,1,0.014
0,1,0,0,0,0,0.011
1,1,0,0,0,1,0.012
0,1,1,0,0,0,0.011
