CACHE_SIZE,PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,DEFRAG_ALWAYS,time
0,0,0,0,0,0,0.034
1,1,0,1,0,1,0.053
0,1,0,0,0,1,0.058
1,1,1,0,0,0,0.032
1,0,0,1,0,0,0.032
1,1,1,1,0,1,0.026
0,0,0,0,1,0,0
0,0,0,1,0,1,0.042
0,1,1,1,0,1,0.048
1,1,1,1,0,0,0.032
0,1,0,1,0,0,0.021
1,0,0,0,0,0,0.021
1,1,0,0,0,0,0.026
0,0,0,0,0,1,0.045
0,1,1,0,0,1,0.058
1,1,1,0,0,1,0.042
1,0,0,1,0,1,0.047
1,1,0,1,0,0,0.021
0,1,0,1,0,1,0.053
0,0,0,1,0,0,0.032
0,1,1,1,0,0,0.032
1,0,0,0,0,1,0.043
0,1,0,0,0,0,0.016
1,1,0,0,0,1,0.037
0,1,1,0,0,0,0.026
