AUTOCOMMIT,MV_STORE,DEFRAG_ALWAYS,COMPRESS,time
0,0,0,0,0
1,1,1,0,0.397
1,0,1,0,0
1,0,0,1,0
1,1,0,1,0.35
0,1,1,0,0.409
0,1,0,0,0.325
0,0,1,1,0
0,0,0,1,0
1,0,1,1,0
0,1,1,1,0.357
1,1,0,0,0.385
1,1,1,1,0.369
0,1,0,1,0.453
1,0,0,0,0
0,0,1,0,0
