CACHE_SIZE,PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,DEFRAG_ALWAYS,time
0,0,0,0,0,0,0.032
0,1,0,0,1,1,0
1,1,0,1,1,1,0
1,1,1,0,0,0,0.053
1,0,0,1,0,0,0.021
0,1,1,0,1,1,0
1,1,1,1,1,1,0
0,1,1,1,0,1,0.038
0,1,1,0,1,0,0
1,1,0,1,1,0,0
0,0,1,1,1,1,0
1,1,1,1,1,0,0
1,0,1,1,0,0,0.032
0,0,0,1,1,1,0
1,1,0,0,0,0,0.048
0,0,0,0,0,1,0.021
1,0,0,1,1,1,0
1,1,1,0,0,1,0.032
1,0,0,0,1,0,0
1,1,1,0,1,1,0
1,0,0,1,0,1,0.032
1,1,0,1,0,0,0.048
0,1,0,1,0,1,0.048
0,0,0,0,1,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0.026
0,0,1,1,1,0,0
0,0,1,1,0,0,0.016
0,1,0,0,0,0,0.053
0,0,1,0,0,0,0.053
1,1,1,0,1,0,0
0,1,0,1,1,0,0
1,1,0,1,0,1,0.053
0,1,0,0,0,1,0.058
1,1,0,0,1,0,0
1,0,0,1,1,0,0
1,1,1,1,0,1,0.053
0,0,1,1,0,1,0.016
0,0,0,0,1,0,0
0,0,0,1,0,1,0.032
1,0,1,1,1,0,0
1,1,1,1,0,0,0.037
1,0,0,0,1,1,0
0,1,1,1,1,1,0
0,1,0,1,0,0,0.037
1,0,0,0,0,0,0.021
0,0,1,0,1,0,0
0,1,0,1,1,1,0
1,0,1,0,1,1,0
0,1,1,0,0,1,0.032
0,0,1,0,1,1,0
1,0,1,0,1,0,0
1,0,1,1,0,1,0.021
1,0,1,0,0,0,0.021
0,1,1,1,1,0,0
0,0,1,0,0,1,0.021
1,1,0,0,1,1,0
0,0,0,1,0,0,0.032
1,0,1,1,1,1,0
0,1,1,1,0,0,0.053
1,0,1,0,0,1,0.016
0,0,0,1,1,0,0
1,1,0,0,0,1,0.032
0,1,1,0,0,0,0.032
