PAGE_SIZE,AUTOCOMMIT,MV_STORE,time
0,0,0,0.011
1,1,1,0.04
0,1,1,0.05
1,0,0,0.011
0,1,0,0.034
0,0,1,0
1,0,1,0
1,1,0,0.045
