AUTOCOMMIT,MV_STORE,DEFRAG_ALWAYS,COMPRESS,time
0,0,0,0,0
1,1,1,0,0
1,0,1,0,0
1,0,0,1,0
1,1,0,1,0.01
0,1,1,0,0
0,1,0,0,0.003
0,0,1,1,0
0,0,0,1,0
1,0,1,1,0
0,1,1,1,0
1,1,0,0,0
1,1,1,1,0
0,1,0,1,0.003
1,0,0,0,0
0,0,1,0,0
