PAGE_SIZE,AUTOCOMMIT,FILE_LOCK,MV_STORE,time
0,0,0,0,0.011
1,1,0,1,0.011
1,0,1,0,0.013
0,1,1,0,0.005
0,1,0,1,0.016
1,0,0,0,0.021
0,1,0,0,0.003
0,0,0,1,0.008
0,0,1,0,0.011
1,0,0,1,0.005
1,1,0,0,0.011
1,1,1,0,0.005
