PLATFORM,DRY_RUN,IOS_CREATE_IMAGESET_FOLDERS,SKIP_UPSCALING,ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE,ANDROID_INCLUDE_LDPI_TVDPI,SCALE,time
0,0,0,0,0,0,0,0.011
0,1,0,1,0,0,1,0
1,0,0,1,0,0,1,0.011
0,1,0,1,1,1,1,0
1,1,1,0,0,0,1,0.005
0,1,0,0,1,1,1,0.003
1,0,0,1,0,0,0,0.016
0,0,0,1,1,0,1,0.011
1,0,0,0,0,0,1,0.013
1,0,1,0,0,0,0,0.011
0,0,0,0,1,1,1,0.011
1,1,1,0,0,0,0,0.005
0,1,0,1,1,1,0,0
1,1,1,1,0,0,0,0
0,1,0,0,1,1,0,0
0,0,0,0,1,1,0,0.013
0,0,0,1,1,1,0,0.011
1,0,0,0,0,0,0,0.011
0,1,0,0,0,0,0,0.003
0,0,0,1,1,1,1,0.011
0,0,0,1,0,0,0,0.008
0,1,0,1,0,1,1,0
0,0,0,0,0,0,1,0.011
0,1,0,0,0,1,0,0.003
0,1,0,0,1,0,1,0.003
1,1,0,0,0,0,0,0
0,0,0,0,0,1,1,0.013
0,1,0,1,1,0,0,0
0,0,0,1,0,1,0,0.013
1,0,1,1,0,0,1,0.011
1,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0.01
1,1,0,1,0,0,0,0
0,1,0,0,1,0,0,0.003
1,0,1,1,0,0,0,0.01
0,0,0,0,1,0,1,0.013
1,1,0,1,0,0,1,0.003
0,0,0,1,1,0,0,0.014
0,0,0,1,0,0,1,0.008
0,1,0,0,0,1,1,0.003
1,0,1,0,0,0,1,0.01
1,1,1,1,0,0,1,0.005
0,1,0,1,1,0,1,0
0,0,0,0,0,1,0,0.016
0,0,0,1,0,1,1,0.01
0,1,0,0,0,0,1,0.003
0,1,0,1,0,1,0,0
0,1,0,1,0,0,0,0.003
