PLATFORM,DRY_RUN,IOS_CREATE_IMAGESET_FOLDERS,SKIP_UPSCALING,ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE,ANDROID_INCLUDE_LDPI_TVDPI,SCALE,time
0,0,0,0,0,0,0,9.463
0,0,0,0,0,1,1,121.119
0,0,0,1,0,1,0,5.577
1,0,0,0,0,0,1,53.312
0,0,0,0,1,0,0,9.607
1,0,1,0,0,0,0,2.956
0,0,0,0,1,1,1,119.8
0,0,0,0,1,1,0,10.865
0,0,0,1,1,1,0,5.492
1,0,0,0,0,0,0,2.998
0,0,0,0,1,0,1,112.867
0,0,0,1,1,0,0,4.01
0,0,0,1,1,1,1,2.483
1,0,1,0,0,0,1,49.941
0,0,0,1,0,0,0,4.02
0,0,0,1,0,1,1,2.546
0,0,0,0,0,1,0,10.919
0,0,0,0,0,0,1,104.764
1,1,0,1,0,0,1,0
