PLATFORM,DRY_RUN,IOS_CREATE_IMAGESET_FOLDERS,SKIP_UPSCALING,ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE,ANDROID_INCLUDE_LDPI_TVDPI,SCALE,time
0,0,0,0,0,0,0,0.855
0,0,0,0,0,1,1,0.577
0,0,0,1,0,1,0,0.959
0,0,0,0,1,0,0,0.797
1,0,0,0,0,0,1,0.259
1,0,1,0,0,0,0,0.627
0,0,0,0,1,1,1,0.665
0,0,0,0,1,1,0,1.019
0,0,0,1,1,1,0,0.95
1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,0.596
0,0,0,0,1,0,1,0.341
0,0,0,1,1,0,0,0.859
0,0,0,1,1,1,1,0.261
1,0,1,0,0,0,1,0.331
0,0,0,1,0,0,0,0.786
0,0,0,1,0,1,1,0.234
0,0,0,0,0,1,0,0.948
0,0,0,0,0,0,1,0.307
