PLATFORM,DRY_RUN,IOS_CREATE_IMAGESET_FOLDERS,SKIP_UPSCALING,ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE,ANDROID_INCLUDE_LDPI_TVDPI,SCALE,time
1,0,0,1,0,0,1,0.939
0,0,0,0,0,0,0,3.362
0,0,0,0,0,1,1,28.445
0,0,0,1,0,1,0,1.97
1,0,1,1,0,0,1,0.943
0,0,0,1,1,0,1,0.941
1,0,0,0,0,0,1,11.715
0,0,0,0,1,0,0,3.363
1,0,1,0,0,0,0,1.488
0,0,0,0,1,1,1,28.499
0,0,0,0,1,1,0,3.506
0,0,0,1,1,1,0,1.983
0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,1.476
0,0,0,0,1,0,1,25.63
0,0,0,1,1,0,0,1.719
0,0,0,1,1,1,1,1.476
0,0,0,1,0,0,1,0.94
1,0,1,0,0,0,1,11.725
0,0,0,1,0,0,0,1.724
0,0,0,1,0,1,1,1.482
0,0,0,0,0,1,0,3.57
0,0,0,0,0,0,1,25.433
