PLATFORM,DRY_RUN,IOS_CREATE_IMAGESET_FOLDERS,SKIP_UPSCALING,ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE,ANDROID_INCLUDE_LDPI_TVDPI,SCALE,time
0,0,0,0,0,0,0,0.087
0,0,0,0,0,1,1,0.145
0,0,0,1,0,1,0,0.061
0,0,0,0,1,0,0,0.088
1,0,0,0,0,0,1,0.135
1,0,1,0,0,0,0,0.035
0,0,0,0,1,1,1,0.174
0,0,0,0,1,1,0,0.084
0,0,0,1,1,1,0,0.06
1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,0.035
0,0,0,0,1,0,1,0.248
0,0,0,1,1,0,0,0.055
0,0,0,1,1,1,1,0.028
1,0,1,0,0,0,1,0.132
0,0,0,1,0,0,0,0.054
0,0,0,1,0,1,1,0.028
0,0,0,0,0,1,0,0.091
0,0,0,0,0,0,1,0.087
