PLATFORM,DRY_RUN,IOS_CREATE_IMAGESET_FOLDERS,SKIP_UPSCALING,ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE,ANDROID_INCLUDE_LDPI_TVDPI,SCALE,time
0,0,0,0,0,0,0,0.005
0,1,0,1,0,0,1,0.005
1,0,0,1,0,0,1,0.006
0,1,0,1,1,1,1,0.005
1,1,1,0,0,0,1,0.005
0,1,0,0,1,1,1,0.005
0,0,0,1,1,0,1,0.006
1,0,0,0,0,0,1,0.006
1,0,1,0,0,0,0,0.005
0,0,0,0,1,1,1,0.006
1,1,1,0,0,0,0,0.006
0,1,0,1,1,1,0,0.005
0,1,0,0,1,1,0,0.005
0,0,0,0,1,1,0,0.005
0,0,0,1,1,1,0,0.005
1,0,0,0,0,0,0,0.005
0,1,0,0,0,0,0,0.005
0,0,0,1,1,1,1,0.005
0,0,0,1,0,0,0,0.005
0,1,0,1,0,1,1,0.005
0,0,0,0,0,0,1,0.006
0,1,0,0,0,1,0,0.005
0,1,0,0,1,0,1,0.005
0,0,0,0,0,1,1,0.008
1,1,0,0,0,0,0,0.005
0,1,0,1,1,0,0,0.006
0,0,0,1,0,1,0,0.005
1,0,1,1,0,0,1,0.006
1,1,0,0,0,0,1,0.005
0,0,0,0,1,0,0,0.005
0,1,0,0,1,0,0,0.005
0,0,0,0,1,0,1,0.007
1,1,0,1,0,0,1,0.006
0,0,0,1,1,0,0,0.005
0,0,0,1,0,0,1,0.005
0,1,0,0,0,1,1,0.005
1,0,1,0,0,0,1,0.005
1,1,1,1,0,0,1,0.006
0,1,0,1,1,0,1,0.005
0,0,0,0,0,1,0,0.005
0,0,0,1,0,1,1,0.005
0,1,0,0,0,0,1,0.005
0,1,0,1,0,1,0,0.005
0,1,0,1,0,0,0,0.006
