PLATFORM,DRY_RUN,IOS_CREATE_IMAGESET_FOLDERS,SKIP_UPSCALING,ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE,ANDROID_INCLUDE_LDPI_TVDPI,SCALE,time
0,0,0,0,0,0,0,0.05
0,0,0,0,0,1,1,0.354
0,0,0,1,0,1,0,0.033
0,0,0,0,1,0,0,0.051
1,0,0,0,0,0,1,0.178
1,0,1,0,0,0,0,0.019
0,0,0,0,1,1,1,0.351
0,0,0,0,1,1,0,0.066
0,0,0,1,1,1,0,0.035
1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,0.02
0,0,0,0,1,0,1,0.227
0,0,0,1,1,0,0,0.028
0,0,0,1,1,1,1,0.015
1,0,1,0,0,0,1,0.178
0,0,0,1,0,0,0,0.028
0,0,0,1,0,1,1,0.016
0,0,0,0,0,1,0,0.068
0,0,0,0,0,0,1,0.229
