PLATFORM,DRY_RUN,IOS_CREATE_IMAGESET_FOLDERS,SKIP_UPSCALING,ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE,ANDROID_INCLUDE_LDPI_TVDPI,SCALE,time
0,0,0,0,0,0,0,0.083
0,0,0,0,0,1,1,0.201
0,0,0,1,0,1,0,0.096
1,0,0,0,0,0,1,0.045
0,0,0,0,1,0,0,0.089
1,0,1,0,0,0,0,0.038
0,0,0,0,1,1,1,0.191
0,0,0,0,1,1,0,0.122
0,0,0,1,1,1,0,0.103
1,0,0,0,0,0,0,0.039
0,0,0,0,1,0,1,0.174
0,0,0,1,1,0,0,0.058
0,0,0,1,1,1,1,0.021
1,0,1,0,0,0,1,0.04
0,0,0,1,0,0,0,0.059
0,0,0,1,0,1,1,0.019
0,0,0,0,0,1,0,0.121
0,0,0,0,0,0,1,0.286
1,1,0,1,0,0,1,0
