RAM_BUFFER_SIZE_MB,MAX_BUFFERED_DOCS,USE_COMPOUND_FILE,MAX_TOKEN_LENGTH,COMMIT_ON_CLOSE,time
0,0,1,0,1,0.026
1,1,0,0,0,0
0,1,1,0,1,0.029
0,0,1,0,0,0.016
0,0,1,1,0,0.021
1,0,1,0,1,0.029
0,1,1,0,0,0.029
0,0,1,1,1,0.032
