RAM_BUFFER_SIZE_MB,MAX_BUFFERED_DOCS,USE_COMPOUND_FILE,MAX_TOKEN_LENGTH,COMMIT_ON_CLOSE,time
0,0,0,0,0,0.762
0,1,0,0,0,0
0,1,1,1,0,0.215
0,0,1,1,0,0.189
1,0,1,0,1,0.729
0,1,1,1,1,0.184
0,0,1,1,1,0.21
1,0,0,1,1,0.189
1,0,0,0,0,0.081
0,0,1,0,1,0.717
1,0,0,0,1,0.735
0,1,1,0,1,0.733
0,0,1,0,0,0.731
0,1,1,0,0,0.736
0,1,0,1,0,0.194
0,0,0,1,0,0.199
0,1,0,1,1,0.194
1,0,1,1,1,0.204
0,0,0,1,1,0.2
0,0,0,0,1,0.769
0,1,0,0,1,0.726
