RAM_BUFFER_SIZE_MB,MAX_BUFFERED_DOCS,MAX_TOKEN_LENGTH,COMMIT_ON_CLOSE,time
1,0,0,0,0.06
0,0,0,0,0.149
1,0,0,1,0.117
0,1,0,0,0.073
0,1,1,0,0.157
0,0,1,0,0.129
0,1,1,1,0.136
0,0,1,1,0.157
1,0,1,1,0.144
0,0,0,1,0.157
0,1,0,1,0.143
