RAM_BUFFER_SIZE_MB,MAX_BUFFERED_DOCS,MAX_TOKEN_LENGTH,COMMIT_ON_CLOSE,time
0,0,0,0,0.011
1,0,0,0,0.005
1,0,0,1,0.011
0,1,0,0,0.011
0,0,1,0,0.011
0,0,1,1,0.011
0,0,0,1,0.011
0,1,0,1,0.011
