RAM_BUFFER_SIZE_MB,MAX_BUFFERED_DOCS,MAX_TOKEN_LENGTH,COMMIT_ON_CLOSE,time
0,0,0,0,0.46
1,0,0,0,0.228
0,1,0,0,0.211
1,0,0,1,0.447
0,1,1,0,0.427
0,1,1,1,0.441
0,0,1,0,0.451
0,0,1,1,0.449
1,0,1,1,0.449
0,0,0,1,0.432
0,1,0,1,0.416
