RAM_BUFFER_SIZE_MB,MAX_BUFFERED_DOCS,USE_COMPOUND_FILE,MAX_TOKEN_LENGTH,COMMIT_ON_CLOSE,time
0,0,0,0,0,0.763
0,1,1,1,0,0.914
0,1,0,0,0,0
0,0,1,1,0,0.887
0,1,1,1,1,0.871
1,0,1,0,1,0.755
0,0,1,1,1,0.856
1,0,0,1,1,0.94
0,0,1,0,1,0.764
1,0,0,0,0,0.429
1,0,0,0,1,0.762
0,1,1,0,1,0.747
0,0,1,0,0,0.815
0,1,1,0,0,0.766
0,1,0,1,0,0.926
0,1,0,1,1,0.902
1,0,1,1,1,0.902
0,0,0,1,0,0.918
0,0,0,1,1,0.877
0,0,0,0,1,0.729
0,1,0,0,1,0.771
