RAM_BUFFER_SIZE_MB,MAX_BUFFERED_DOCS,MAX_TOKEN_LENGTH,COMMIT_ON_CLOSE,time
0,0,0,0,0.032
1,0,0,0,0.013
1,0,0,1,0.011
0,1,0,0,0.034
0,0,1,0,0.036
0,0,1,1,0.014
0,0,0,1,0.013
0,1,0,1,0.011
