RAM_BUFFER_SIZE_MB,MAX_BUFFERED_DOCS,MAX_TOKEN_LENGTH,COMMIT_ON_CLOSE,time
1,0,0,0,0.345
0,0,0,0,0.61
1,0,0,1,0.617
0,1,0,0,0.306
0,1,1,0,0.645
0,0,1,0,0.655
0,1,1,1,0.641
0,0,1,1,0.648
1,0,1,1,0.654
0,0,0,1,0.607
0,1,0,1,0.635
