RAM_BUFFER_SIZE_MB,MAX_BUFFERED_DOCS,MAX_TOKEN_LENGTH,COMMIT_ON_CLOSE,time
0,0,0,0,0.011
1,0,0,0,0.003
0,1,0,0,0.008
1,0,0,1,0.019
0,1,1,0,0.013
0,1,1,1,0.012
0,0,1,0,0.009
0,0,1,1,0.02
1,0,1,1,0.018
0,0,0,1,0.019
0,1,0,1,0.015
